15:24:37.918955 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5895200:5895364, ack 3061, win 501, length 164
15:24:37.918991 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5895364:5895528, ack 3061, win 501, length 164
15:24:37.919026 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5895528:5895692, ack 3061, win 501, length 164
15:24:37.919062 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5895692:5895856, ack 3061, win 501, length 164
15:24:37.919095 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5895856:5896020, ack 3061, win 501, length 164
15:24:37.919133 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5896020:5896184, ack 3061, win 501, length 164
15:24:37.919168 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5896184:5896348, ack 3061, win 501, length 164
15:24:37.919204 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5896348:5896512, ack 3061, win 501, length 164
15:24:37.919237 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5896512:5896676, ack 3061, win 501, length 164
15:24:37.919274 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5896676:5896840, ack 3061, win 501, length 164
15:24:37.919307 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5896840:5897004, ack 3061, win 501, length 164
15:24:37.919340 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5897004:5897168, ack 3061, win 501, length 164
15:24:37.919377 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5897168:5897332, ack 3061, win 501, length 164
15:24:37.919411 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5897332:5897496, ack 3061, win 501, length 164
15:24:37.919448 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5897496:5897660, ack 3061, win 501, length 164
15:24:37.919488 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5897660:5897824, ack 3061, win 501, length 164
15:24:37.919522 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5897824:5897988, ack 3061, win 501, length 164
15:24:37.919556 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5897988:5898152, ack 3061, win 501, length 164
15:24:37.919590 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5898152:5898316, ack 3061, win 501, length 164
